Country,Year,Per capita CO2 emissions
Mongolia,2016,8.28662975
Montenegro,2016,3.214035088
Montserrat,2016,5.8624
Morocco,2016,1.737502589
Mozambique,2016,0.27761303
Myanmar,2016,0.470465124
Namibia,2016,1.778280206
Nauru,2016,4.7632
Nepal,2016,0.324289993
Netherlands,2016,9.79842192
New Caledonia,2016,19.38604952
New Zealand,2016,7.353505478
Nicaragua,2016,0.874098045
Niger,2016,0.096661477
Nigeria,2016,0.633644401
Niue,2016,3.664
North America,2016,11.48095653
North America (excl. USA),2016,4.990140399
North Korea,2016,1.085294033
Norway,2016,8.467435406
Oceania,2016,11.59392013
Oman,2016,13.98977787
Pakistan,2016,0.965786859
Palau,2016,12.41688889
Palestine,2016,0.69707679
Panama,2016,2.591766341
Papua New Guinea,2016,0.898282398
Paraguay,2016,1.055437513
Peru,2016,1.821034093
Philippines,2016,1.150816879
Poland,2016,8.503786983
Portugal,2016,4.878471594
Qatar,2016,38.51005261
Romania,2016,3.828933283
Russia,2016,11.13510706
Rwanda,2016,0.089714629
Saint Helena,2016,1.832
Saint Kitts and Nevis,2016,4.58
Saint Lucia,2016,2.300177778
Saint Pierre and Miquelon,2016,12.824
Saint Vincent and the Grenadines,2016,2.016880734
Samoa,2016,1.258912821
Sao Tome and Principe,2016,0.595625616
Saudi Arabia,2016,19.46642439
Senegal,2016,0.692471812
Serbia,2016,5.086475943
Seychelles,2016,6.2975
Sierra Leone,2016,0.126982672
Singapore,2016,6.633304563
Sint Maarten (Dutch part),2016,18.58809756
Slovakia,2016,6.411888519
Slovenia,2016,6.949701376
Solomon Islands,2016,0.27228433
Somalia,2016,0.045457775
South Africa,2016,8.450418019
South America,2016,2.727588532
South Korea,2016,12.12090456
South Sudan,2016,0.159304348
Spain,2016,5.581528834
Sri Lanka,2016,1.095494709
Sudan,2016,0.490338073
Suriname,2016,3.046740664
Swaziland,2016,1.036050269
Sweden,2016,4.329248879
Switzerland,2016,4.676198879
Syria,2016,1.632213789
Taiwan,2016,11.23227063
Tajikistan,2016,0.595415408
Tanzania,2016,0.218823247
Thailand,2016,4.065057037
Timor,2016,0.405775226
Togo,2016,0.407966977
Tonga,2016,1.26970297
Trinidad and Tobago,2016,31.75087479
Tunisia,2016,2.566183913
Turkey,2016,5.02630328
Turkmenistan,2016,12.39205781
Turks and Caicos Islands,2016,5.842594595
Tuvalu,2016,0.999272727
Uganda,2016,0.136176772
Ukraine,2016,5.237816977
United Arab Emirates,2016,21.70428302
United Kingdom,2016,6.030934144
United States,2016,16.42848174
Uruguay,2016,1.95175158
Uzbekistan,2016,2.894392789
Vanuatu,2016,0.527194245
Venezuela,2016,5.467451822
Vietnam,2016,1.959536423
World,2016,4.779608013
Yemen,2016,0.377011339
Zambia,2016,0.295657682
Zimbabwe,2016,0.770308849
Afghanistan,2015,0.262088518
Africa,2015,1.126548812
Albania,2015,1.595633345
Algeria,2015,3.79339571
Andorra,2015,5.96574359
Angola,2015,1.218585015
Anguilla,2015,10.992
Antigua and Barbuda,2015,5.807829787
Argentina,2015,4.639797447
Armenia,2015,1.652211217
Aruba,2015,8.631538462
Asia,2015,4.255103749
Asia (excl. China & India),2015,3.990708089
Australia,2015,16.82005536
Austria,2015,7.689003566
Azerbaijan,2015,3.852629874
Bahamas,2015,5.388235294
Bahrain,2015,23.81347049
Bangladesh,2015,0.466123703
Barbados,2015,4.365464629
Belarus,2015,6.281490204
Belgium,2015,8.837109777
Belize,2015,1.603634349
Benin,2015,0.554152556
Bermuda,2015,8.702
Bhutan,2015,1.337281931
Bolivia,2015,1.811938321
Bonaire Sint Eustatius and Saba,2015,13.04384
Bosnia and Herzegovina,2015,5.383692552
Botswana,2015,2.557639853
Brazil,2015,2.421914216
British Virgin Islands,2015,7.328
Brunei,2015,16.75728193
Bulgaria,2015,6.679826459
Burkina Faso,2015,0.182075773
Burundi,2015,0.038556465
Cambodia,2015,0.544182085
Cameroon,2015,0.332381743
Canada,2015,16.00901685
Cape Verde,2015,0.942171429
Central African Republic,2015,0.065239261
Chad,2015,0.069326677
Chile,2015,4.542594323
China,2015,6.906551269
Colombia,2015,1.958797776
Comoros,2015,0.216916345
Congo,2015,0.648798419
Cook Islands,2015,3.460444444
Costa Rica,2015,1.512001885
Cote d'Ivoire,2015,0.404955136
Croatia,2015,4.214673231
Cuba,2015,2.565371531
Curacao,2015,39.9376
Cyprus,2015,5.983015109
Czech Republic,2015,9.884580346
Democratic Republic of Congo,2015,0.03661787
Denmark,2015,6.188108823
Djibouti,2015,0.664097973
Dominica,2015,2.477070423
Dominican Republic,2015,2.289728867
EU-27,2015,6.990666908
EU-28,2015,6.915960044
Ecuador,2015,2.629031763
Egypt,2015,2.372316394
El Salvador,2015,1.064618355
Equatorial Guinea,2015,5.152793841
Eritrea,2015,0.20056618
Estonia,2015,12.08441679
Ethiopia,2015,0.127691672
Europe,2015,7.529568151
Europe (excl. EU-27),2015,8.290874301
Europe (excl. EU-28),2015,8.811818442
Faeroe Islands,2015,12.67133333
Fiji,2015,2.451557121
Finland,2015,8.050339978
France,2015,5.292319846
French Polynesia,2015,2.805040293
Gabon,2015,2.690729615
Gambia,2015,0.251175455
Georgia,2015,2.381963994
Germany,2015,9.731858963
Ghana,2015,0.578646076
Greece,2015,7.031805348
Greenland,2015,9.094571429
Grenada,2015,2.364945455
Guatemala,2015,0.949662124
Guinea,2015,0.214417075
Guinea-Bissau,2015,0.160313184
Guyana,2015,2.613420297
Haiti,2015,0.271992757
Honduras,2015,1.077821786
Hong Kong,2015,5.899097022
Hungary,2015,4.773680597
Iceland,2015,10.70719726
India,2015,1.754124867
Indonesia,2015,1.962250116
Iran,2015,8.164032378
Iraq,2015,4.656650779
Ireland,2015,8.26081762
Israel,2015,8.140650723
Italy,2015,5.873165784
Jamaica,2015,2.62239845
Japan,2015,9.567828341
Jordan,2015,2.751789504
Kazakhstan,2015,15.00054284
Kenya,2015,0.340462663
Kiribati,2015,0.561153153
Kuwait,2015,24.05688506
Kyrgyzstan,2015,1.724708418
Laos,2015,1.306298672
Latvia,2015,3.643067311
Lebanon,2015,3.68881616
Lesotho,2015,1.138882953
Liberia,2015,0.269458775
Libya,2015,8.787066972
Liechtenstein,2015,4.295432939
Lithuania,2015,4.478858338
Luxembourg,2015,16.45664726
Macao,2015,3.352341796
Macedonia,2015,3.411978836
Madagascar,2015,0.149175668
Malawi,2015,0.066857477
Malaysia,2015,7.705994746
Maldives,2015,2.858725275
Mali,2015,0.17751084
Malta,2015,3.957612703
Marshall Islands,2015,2.506947368
Mauritania,2015,0.608553633
Mauritius,2015,3.343872915
Mexico,2015,3.955215299
Moldova,2015,1.175407541
Mongolia,2015,7.753036161
Montenegro,2015,3.570500797
Montserrat,2015,11.7248
Morocco,2015,1.760553899
Mozambique,2015,0.233173965
Myanmar,2015,0.420934087
Namibia,2015,1.708558473
Nauru,2015,4.7632
Nepal,2015,0.222610905
Netherlands,2015,9.827065051
New Caledonia,2015,17.47483882
New Zealand,2015,7.765739979
